SMILES SOLUTE,SMILES Solvent 1,SMILES Solvent 2,Mole Fraction Solvent 1,Mole Fraction  Solvent 2,Density (g/mL),T (K),log(S),log(Xs),Reference (DOI),Comments,MW,pph(g/100g),DeltaGsolv
CCCCCCCC,Cc1ccccn1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.73
Cc1ccccc1,Cc1ccccn1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.06
CCO,Cc1ccccn1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.01
C1COCCO1,Cc1ccccn1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.01
CCC(C)=O,Cc1ccccn1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.52
Cc1ccccn1,Cc1ccccn1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.71
c1ccc2ccccc2c1,CC(C)CC(C)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.45
Oc1ccccc1,CC(C)CC(C)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-9.38
Cc1cccc(O)c1,CC(C)CC(C)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-8.79
CC(O)=O,CC(C)CC(C)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.33
CCC(O)=O,CC(C)CC(C)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.85
CCCC(O)=O,CC(C)CC(C)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.44
CN(C)C,CC(C)CC(C)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-2.86
CCNCC,CC(C)CC(C)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.63
c1ccncc1,CC(C)CC(C)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.33
Nc1ccccc1,CC(C)CC(C)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.54
N,CC(C)CC(C)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-2.52
CN,CC(C)CC(C)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.14
CC(C)CC(C)=O,CC(C)CC(C)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.23
CCCCCCCC,CC(O)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.93
Cc1ccccc1,CC(O)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.53
CCO,CC(O)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.25
C1COCCO1,CC(O)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.8
CCC(C)=O,CC(O)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.8
CC(O)=O,CC(O)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.3
C[N+]([O-])=O,CC(O)=O,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.88
CCCCCCCC,CC#N,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.57
Cc1ccccc1,CC#N,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.68
CCO,CC#N,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.43
C1COCCO1,CC#N,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.33
CCC(C)=O,CC#N,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.73
CC#N,CC#N,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.85
C[N+]([O-])=O,CC#N,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.62
CCCCCCCC,CC(=O)c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.24
Cc1ccccc1,CC(=O)c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.9
CCO,CC(=O)c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.12
C1COCCO1,CC(=O)c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.03
CCC(C)=O,CC(=O)c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.39
CC(=O)c1ccccc1,CC(=O)c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.59
CC(O)=O,CC(=O)c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.2
C[N+]([O-])=O,CC(=O)c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.92
OO,CC(=O)c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.3
CCCCCCCC,Nc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.48
Cc1ccccc1,Nc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.57
CCO,Nc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.45
C1COCCO1,Nc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.65
CCC(C)=O,Nc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.87
CC(O)=O,Nc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.3
CCC(O)=O,Nc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.2
Nc1ccccc1,Nc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.61
C[N+]([O-])=O,Nc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.11
OO,Nc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.8
CCCCCCCC,COc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.62
Cc1ccccc1,COc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.95
